species,latitude,longitude
Herdmania momus,-33.089398,151.675871
Herdmania momus,-28.098979,153.457253
Herdmania momus,-28.098158,153.455835
Herdmania momus,-28.537234,153.553426
Herdmania momus,21.281477,-157.845326
Herdmania momus,-30.276138,153.145197
Herdmania momus,23.517027,58.758941
Herdmania momus,23.85587,58.088056
Herdmania momus,4.253618,118.633468
Herdmania momus,21.289671,-157.864341
Herdmania momus,-4.521862,129.899158
Herdmania momus,21.290398,-157.860763
Herdmania momus,-32.004711,115.748657
Herdmania momus,1.443941,125.234621
Herdmania momus,1.461282,125.23252
Herdmania momus,36.442163,28.233865
Herdmania momus,-8.459459,119.571757
Herdmania momus,13.681788,120.892893
Herdmania momus,1.460501,125.234795
Herdmania momus,1.594088,124.771684
Herdmania momus,4.117483,118.632757
Herdmania momus,27.178237,33.832
Herdmania momus,-2.244887,130.567445
Herdmania momus,13.525748,120.976604
Herdmania momus,21.434118,-157.789975
Herdmania momus,29.501972,34.917983
Herdmania momus,33.499576,126.918574
Herdmania momus,-36.429535,150.083907
Herdmania momus,-36.507748,150.061521
Herdmania momus,1.480238,125.251963
Herdmania momus,-22.515786,167.406905
Herdmania momus,-22.515391,167.406833
Herdmania momus,21.415,-157.7795
Herdmania momus,21.49019,-157.78934
Herdmania momus,4.091104,72.862133
Herdmania momus,29.55,34.96
Herdmania momus,27.4569,-80.3226
Herdmania momus,-35.048834,117.691626
Herdmania momus,21.4606,-157.782
Herdmania momus,21.280078,-157.847665
Herdmania momus,-34.001979,151.229443
Herdmania momus,-36.429414,150.084309
Herdmania momus,-33.011488,151.740243
Herdmania momus,-32.713912,152.151094
Herdmania momus,-34.073365,151.149083
Herdmania momus,-33.992935,151.231899
Herdmania momus,6.983595,125.722947
Herdmania momus,8.3756,76.9883
Herdmania momus,8.7501,78.2058
Herdmania momus,8.7901,78.1618
Herdmania momus,8.7497,78.2041
Herdmania momus,29.31,34.92
Herdmania momus,8.749722,78.20417
Herdmania momus,29.55292,34.96028
Herdmania momus,23.5863,81.173004
Herdmania momus,-38.6643,145.683
Herdmania momus,-38.6774,145.617
Herdmania momus,-38.6803,145.61
Herdmania momus,-38.2941,144.598
Herdmania momus,-38.2902,144.589
Herdmania momus,-38.2967,144.613
Herdmania momus,-38.2767,144.698
Herdmania momus,-38.2901,144.623
Herdmania momus,-38.2864,144.63
Herdmania momus,-38.3042,144.659
Herdmania momus,-38.2873,144.62
Herdmania momus,-38.2802,144.625
Herdmania momus,-38.2753,144.655
Herdmania momus,-38.3069,144.801
Herdmania momus,-38.3021,144.659
Herdmania momus,-38.3173,144.717
Herdmania momus,-26.679167,153.1375
Herdmania momus,-35.83,150.23361
Herdmania momus,-33.484165,151.44417
Herdmania momus,-34.470833,150.90167
Herdmania momus,-34.47333,150.9
Herdmania momus,-34.476665,150.90834
Herdmania momus,-34.47167,150.91167
Herdmania momus,-34.46583,150.90416
Herdmania momus,-34.47167,150.9125
Herdmania momus,-34.491665,150.92667
